COUNTY,REGION,DISTRICT,D_rating,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,DAD_POST,OUTCOME,asvab_status
"'015","'20","'015805","A","NEW FRONTIERS PUBLIC SCHOOLS INC","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015806","C","LEGACY TRADITIONAL SCHOOLS - TEXAS","BEXAR","Y","N","0","Needs Assistance"," "
"'015","'20","'015807","B","SOUTHWEST PREPARATORY SCHOOL","BEXAR","Y","N","0","Meets Requirements"," "
"'015","'20","'015808","B","INSPIRE ACADEMIES","BEXAR","Y","N","0","Meets Requirements","ASVAB Test not Offered"
"'015","'20","'015809","Not Rated: Senate Bill 1365","BEXAR COUNTY ACADEMY","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015814","Not Rated: Senate Bill 1365","POSITIVE SOLUTIONS CHARTER SCHOOL","BEXAR","Y","Y"," ","Meets Requirements"," "
"'015","'20","'015815","A","HERITAGE ACADEMY","BEXAR","Y","Y"," ","Meets Requirements"," "
"'015","'20","'015822","C","JUBILEE ACADEMIES","BEXAR","Y","N","0","Needs Assistance"," "
"'015","'20","'015825","Not Rated: Senate Bill 1365","LIGHTHOUSE PUBLIC SCHOOLS","BEXAR","Y","N"," ","Meets Requirements","ASVAB Test not Offered"
"'015","'20","'015827","A","SCHOOL OF SCIENCE AND TECHNOLOGY","BEXAR","Y","N","0","Meets Requirements"," "
"'015","'20","'015828","B","HARMONY PUBLIC SCHOOLS - SOUTH TEXAS","BEXAR","Y","N","0","Needs Assistance"," "
"'015","'20","'015830","B","BROOKS ACADEMIES OF TEXAS","BEXAR","Y","N","0","Meets Requirements"," "
"'015","'20","'015831","A","SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY","BEXAR","Y","N","0","Meets Requirements"," "
"'015","'20","'015833","A","HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015834","A","BASIS TEXAS","BEXAR","Y","N","1","Meets Requirements"," "
"'015","'20","'015835","A","GREAT HEARTS TEXAS","BEXAR","Y","N","0","Meets Requirements","ASVAB Test not Offered"
"'015","'20","'015836","B","ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015838","C","COMPASS ROSE PUBLIC SCHOOLS","BEXAR","Y","N","0","Needs Assistance","ASVAB Test not Offered"
"'015","'20","'015839","Not Rated: Senate Bill 1365","PROMESA ACADEMY CHARTER SCHOOL","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015840","C","SAN ANTONIO PREPARATORY SCHOOLS","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015841","Not Rated: Senate Bill 1365","THE GATHERING PLACE","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015842","Not Rated","ROYAL PUBLIC SCHOOLS","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015843","Not Rated","PRELUDE PREPARATORY CHARTER SCHOOL","BEXAR","Y","N"," ","Meets Requirements"," "
"'015","'20","'015901","A","ALAMO HEIGHTS ISD","BEXAR","N","N","0","Meets Requirements"," "
"'015","'20","'015904","B","HARLANDALE ISD","BEXAR","N","N","0","Needs Intervention"," "
"'015","'20","'015905","C","EDGEWOOD ISD","BEXAR","N","N","0","Needs Intervention"," "
"'015","'20","'015906","A","RANDOLPH FIELD ISD","BEXAR","N","N","0","Meets Requirements"," "
"'015","'20","'015907","B","SAN ANTONIO ISD","BEXAR","N","N","0","Needs Assistance"," "
"'015","'20","'015908","C","SOUTH SAN ANTONIO ISD","BEXAR","N","N","0","Needs Intervention"," "
"'015","'20","'015909","A","SOMERSET ISD","BEXAR","N","N","1","Meets Requirements"," "
"'015","'20","'015910","B","NORTH EAST ISD","BEXAR","N","N","0","Meets Requirements"," "
"'015","'20","'015911","Not Rated: Senate Bill 1365","EAST CENTRAL ISD","BEXAR","N","N","0","Needs Intervention"," "
"'015","'20","'015912","B","SOUTHWEST ISD","BEXAR","N","N","0","Needs Assistance"," "
"'015","'20","'015913","B","LACKLAND ISD","BEXAR","N","N","0","Meets Requirements"," "
"'015","'20","'015914","A","FT SAM HOUSTON ISD","BEXAR","N","N","0","Meets Requirements"," "
"'015","'20","'015915","B","NORTHSIDE ISD","BEXAR","N","N","0","Meets Requirements","ASVAB Alternative Test Offered"
"'015","'20","'015916","B","JUDSON ISD","BEXAR","N","N","0","Needs Assistance"," "
"'015","'20","'015917","B","SOUTHSIDE ISD","BEXAR","N","N","0","Needs Assistance"," "
"'016","'13","'016901","A","JOHNSON CITY ISD","BLANCO","N","N","0","Meets Requirements"," "
"'016","'13","'016902","B","BLANCO ISD","BLANCO","N","N","0","Meets Requirements"," "
"'017","'17","'017901","A","BORDEN COUNTY ISD","BORDEN","N","N"," ","Meets Requirements"," "
"'018","'12","'018901","B","CLIFTON ISD","BOSQUE","N","N","0","Meets Requirements"," "
"'018","'12","'018902","Not Rated: Senate Bill 1365","MERIDIAN ISD","BOSQUE","N","N","0","Meets Requirements"," "
"'018","'12","'018903","B","MORGAN ISD","BOSQUE","N","N"," ","Meets Requirements"," "
"'018","'12","'018904","B","VALLEY MILLS ISD","BOSQUE","N","N","0","Meets Requirements"," "
"'018","'12","'018905","B","WALNUT SPRINGS ISD","BOSQUE","N","N"," ","Meets Requirements"," "
"'018","'12","'018906","B","IREDELL ISD","BOSQUE","N","N"," ","Meets Requirements"," "
"'018","'12","'018907","Not Rated: Senate Bill 1365","KOPPERL ISD","BOSQUE","N","N"," ","Meets Requirements"," "
"'018","'12","'018908","B","CRANFILLS GAP ISD","BOSQUE","N","N"," ","Meets Requirements"," "
"'019","'08","'019901","B","DEKALB ISD","BOWIE","N","N","0","Meets Requirements"," "
"'019","'08","'019902","B","HOOKS ISD","BOWIE","N","N","0","Meets Requirements"," "
"'019","'08","'019903","A","MAUD ISD","BOWIE","N","N"," ","Meets Requirements"," "
"'019","'08","'019905","B","NEW BOSTON ISD","BOWIE","N","N","0","Meets Requirements"," "
"'019","'08","'019906","A","REDWATER ISD","BOWIE","N","N","0","Meets Requirements"," "
"'019","'08","'019907","B","TEXARKANA ISD","BOWIE","N","N","0","Needs Intervention"," "
"'019","'08","'019908","C","LIBERTY-EYLAU ISD","BOWIE","N","N","0","Needs Substantial Intervention"," "
"'019","'08","'019909","A","SIMMS ISD","BOWIE","N","N","0","Meets Requirements"," "
"'019","'08","'019910","B","MALTA ISD","BOWIE","N","N"," ","Meets Requirements"," "
"'019","'08","'019911","A","RED LICK ISD","BOWIE","N","N"," ","Meets Requirements"," "
"'019","'08","'019912","A","PLEASANT GROVE ISD","BOWIE","N","N","0","Meets Requirements"," "
"'019","'08","'019913","B","HUBBARD ISD","BOWIE","N","N"," ","Meets Requirements"," "
"'019","'08","'019914","C","LEARY ISD","BOWIE","N","N"," ","Meets Requirements"," "
"'020","'04","'020901","B","ALVIN ISD","BRAZORIA","N","N","0","Meets Requirements"," "
"'020","'04","'020902","A","ANGLETON ISD","BRAZORIA","N","N","1","Needs Assistance"," "
"'020","'04","'020904","B","DANBURY ISD","BRAZORIA","N","N","0","Meets Requirements"," "
"'020","'04","'020905","B","BRAZOSPORT ISD","BRAZORIA","N","N","1","Needs Assistance"," "
"'020","'04","'020906","B","SWEENY ISD","BRAZORIA","N","N","0","Meets Requirements"," "
"'020","'04","'020907","B","COLUMBIA-BRAZORIA ISD","BRAZORIA","N","N","0","Needs Assistance"," "
"'020","'04","'020908","A","PEARLAND ISD","BRAZORIA","N","N","0","Meets Requirements"," "
"'020","'04","'020910","B","DAMON ISD","BRAZORIA","N","N"," ","Needs Assistance"," "
"'021","'06","'021803","C","BRAZOS SCHOOL FOR INQUIRY & CREATIVITY","BRAZOS","Y","N"," ","Meets Requirements"," "
"'021","'06","'021805","A","ARROW ACADEMY","BRAZOS","Y","N","0","Meets Requirements"," "
"'021","'06","'021901","B","COLLEGE STATION ISD","BRAZOS","N","N","0","Needs Assistance"," "
"'021","'06","'021902","B","BRYAN ISD","BRAZOS","N","N","0","Needs Assistance"," "
"'022","'18","'022004","C","TERLINGUA CSD","BREWSTER","N","N"," ","Meets Requirements"," "
"'022","'18","'022901","B","ALPINE ISD","BREWSTER","N","N","0","Meets Requirements"," "
"'022","'18","'022902","A","MARATHON ISD","BREWSTER","N","N"," ","Meets Requirements"," "
"'022","'18","'022903","A","SAN VICENTE ISD","BREWSTER","N","N"," ","Meets Requirements"," "
"'023","'16","'023902","A","SILVERTON ISD","BRISCOE","N","N"," ","Meets Requirements"," "
"'024","'01","'024901","B","BROOKS COUNTY ISD","BROOKS","N","N","0","Meets Requirements"," "
"'025","'15","'025901","B","BANGS ISD","BROWN","N","N","0","Meets Requirements"," "
"'025","'15","'025902","B","BROWNWOOD ISD","BROWN","N","N","0","Needs Assistance"," "
"'025","'15","'025904","C","BLANKET ISD","BROWN","N","N"," ","Meets Requirements"," "
"'025","'15","'025905","A","MAY ISD","BROWN","N","N","0","Meets Requirements"," "
"'025","'15","'025906","B","ZEPHYR ISD","BROWN","N","N"," ","Meets Requirements"," "
"'025","'15","'025908","A","BROOKESMITH ISD","BROWN","N","N","0","Meets Requirements"," "
"'025","'15","'025909","A","EARLY ISD","BROWN","N","N","0","Meets Requirements"," "
"'026","'06","'026901","A","CALDWELL ISD","BURLESON","N","N","0","Meets Requirements"," "
"'026","'06","'026902","B","SOMERVILLE ISD","BURLESON","N","N","0","Meets Requirements"," "
"'026","'06","'026903","A","SNOOK ISD","BURLESON","N","N","0","Meets Requirements"," "
"'027","'13","'027903","B","BURNET CISD","BURNET","N","N","0","Needs Assistance"," "
"'027","'13","'027904","B","MARBLE FALLS ISD","BURNET","N","N","0","Needs Assistance"," "
"'028","'13","'028902","C","LOCKHART ISD","CALDWELL","N","N","0","Needs Intervention"," "
"'028","'20","'028903","B","LULING ISD","CALDWELL","N","N","0","Needs Assistance"," "
"'028","'13","'028906","Not Rated: Senate Bill 1365","PRAIRIE LEA ISD","CALDWELL","N","N"," ","Meets Requirements"," "
"'029","'03","'029901","B","CALHOUN COUNTY ISD","CALHOUN","N","N","0","Needs Assistance"," "
"'030","'14","'030901","A","CROSS PLAINS ISD","CALLAHAN","N","N","0","Meets Requirements"," "
"'030","'14","'030902","B","CLYDE CISD","CALLAHAN","N","N","0","Meets Requirements"," "
"'030","'14","'030903","B","BAIRD ISD","CALLAHAN","N","N","0","Meets Requirements"," "
"'030","'14","'030906","A","EULA ISD","CALLAHAN","N","N","1","Meets Requirements"," "
"'031","'01","'031901","A","BROWNSVILLE ISD","CAMERON","N","N","1","Meets Requirements"," "
"'031","'01","'031903","B","HARLINGEN CISD","CAMERON","N","N","0","Needs Assistance"," "
"'031","'01","'031905","B","LA FERIA ISD","CAMERON","N","N","0","Meets Requirements"," "
"'031","'01","'031906","A","LOS FRESNOS CISD","CAMERON","N","N","1","Meets Requirements"," "
"'031","'01","'031909","B","POINT ISABEL ISD","CAMERON","N","N","0","Meets Requirements"," "
"'031","'01","'031911","B","RIO HONDO ISD","CAMERON","N","N","0","Needs Assistance"," "
"'031","'01","'031912","B","SAN BENITO CISD","CAMERON","N","N","0","Needs Assistance"," "
"'031","'01","'031913","B","SANTA MARIA ISD","CAMERON","N","N","0","Meets Requirements"," "
"'031","'01","'031914","B","SANTA ROSA ISD","CAMERON","N","N","0","Meets Requirements"," "
"'031","'01","'031916","A","SOUTH TEXAS ISD","CAMERON","N","N","1","Meets Requirements","ASVAB Test not Offered"
"'032","'08","'032902","A","PITTSBURG ISD","CAMP","N","N","1","Meets Requirements"," "
"'033","'16","'033901","A","GROOM ISD","CARSON","N","N"," ","Meets Requirements"," "
"'033","'16","'033902","A","PANHANDLE ISD","CARSON","N","N","1","Meets Requirements"," "
"'033","'16","'033904","B","WHITE DEER ISD","CARSON","N","N","0","Meets Requirements"," "
"'034","'08","'034901","B","ATLANTA ISD","CASS","N","N","0","Meets Requirements"," "
"'034","'08","'034902","B","AVINGER ISD","CASS","N","N"," ","Meets Requirements"," "
"'034","'08","'034903","A","HUGHES SPRINGS ISD","CASS","N","N","0","Meets Requirements"," "
"'034","'08","'034905","B","LINDEN-KILDARE CISD","CASS","N","N","0","Meets Requirements"," "
"'034","'08","'034906","A","MCLEOD ISD","CASS","N","N","0","Meets Requirements"," "
"'034","'08","'034907","A","QUEEN CITY ISD","CASS","N","N","1","Meets Requirements"," "
"'034","'08","'034909","A","BLOOMBURG ISD","CASS","N","N"," ","Meets Requirements"," "
"'035","'16","'035901","B","DIMMITT ISD","CASTRO","N","N","0","Needs Assistance"," "
"'035","'16","'035902","B","HART ISD","CASTRO","N","N"," ","Meets Requirements"," "
"'035","'16","'035903","A","NAZARETH ISD","CASTRO","N","N"," ","Meets Requirements"," "
"'036","'04","'036901","A","ANAHUAC ISD","CHAMBERS","N","N","0","Meets Requirements"," "
"'036","'04","'036902","A","BARBERS HILL ISD","CHAMBERS","N","N","1","Meets Requirements"," "
"'036","'05","'036903","B","EAST CHAMBERS ISD","CHAMBERS","N","N","0","Meets Requirements"," "
"'037","'07","'037901","B","ALTO ISD","CHEROKEE","N","N","0","Meets Requirements"," "
"'037","'07","'037904","B","JACKSONVILLE ISD","CHEROKEE","N","N","0","Needs Assistance"," "
"'037","'07","'037907","C","RUSK ISD","CHEROKEE","N","N","0","Needs Assistance"," "
"'037","'07","'037908","B","NEW SUMMERFIELD ISD","CHEROKEE","N","N"," ","Meets Requirements"," "
"'037","'07","'037909","B","WELLS ISD","CHEROKEE","N","N"," ","Meets Requirements"," "
"'038","'16","'038901","A","CHILDRESS ISD","CHILDRESS","N","N","0","Meets Requirements"," "
"'039","'09","'039902","B","HENRIETTA ISD","CLAY","N","N","0","Meets Requirements"," "
"'039","'09","'039903","B","PETROLIA CISD","CLAY","N","N","0","Meets Requirements"," "
"'039","'09","'039904","C","BELLEVUE ISD","CLAY","N","N"," ","Meets Requirements"," "
"'039","'09","'039905","B","MIDWAY ISD","CLAY","N","N"," ","Meets Requirements"," "
"'040","'17","'040901","B","MORTON ISD","COCHRAN","N","N"," ","Meets Requirements"," "
"'040","'17","'040902","B","WHITEFACE CISD","COCHRAN","N","N"," ","Meets Requirements"," "
"'041","'15","'041901","A","BRONTE ISD","COKE","N","N"," ","Meets Requirements"," "
"'041","'15","'041902","B","ROBERT LEE ISD","COKE","N","N","0","Meets Requirements"," "
"'042","'15","'042901","B","COLEMAN ISD","COLEMAN","N","N","0","Meets Requirements"," "
"'042","'15","'042903","A","SANTA ANNA ISD","COLEMAN","N","N","1","Meets Requirements"," "
"'042","'15","'042905","B","PANTHER CREEK CISD","COLEMAN","N","N"," ","Meets Requirements"," "
"'043","'10","'043801","A","IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS","COLLIN","Y","N"," ","Meets Requirements"," "
"'043","'10","'043802","A","LONE STAR LANGUAGE ACADEMY","COLLIN","Y","N"," ","Meets Requirements"," "
"'043","'10","'043901","A","ALLEN ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043902","B","ANNA ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043903","A","CELINA ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043904","B","FARMERSVILLE ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043905","A","FRISCO ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043907","B","MCKINNEY ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043908","A","MELISSA ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043910","B","PLANO ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043911","A","PRINCETON ISD","COLLIN","N","N","0","Needs Assistance"," "
"'043","'10","'043912","A","PROSPER ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043914","A","WYLIE ISD","COLLIN","N","N","1","Meets Requirements"," "
"'043","'10","'043917","B","BLUE RIDGE ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043918","B","COMMUNITY ISD","COLLIN","N","N","0","Meets Requirements"," "
"'043","'10","'043919","A","LOVEJOY ISD","COLLIN","N","N","1","Meets Requirements"," "
"'044","'16","'044902","B","WELLINGTON ISD","COLLINGSWORTH","N","N","0","Meets Requirements"," "
"'045","'04","'045902","B","COLUMBUS ISD","COLORADO","N","N","0","Needs Assistance"," "
"'045","'03","'045903","B","RICE CISD","COLORADO","N","N","0","Needs Assistance"," "
"'045","'03","'045905","A","WEIMAR ISD","COLORADO","N","N","1","Meets Requirements","ASVAB Alternative Test Offered"
"'046","'20","'046802","B","TRINITY CHARTER SCHOOL","COMAL","Y","Y"," ","Meets Requirements"," "
"'046","'20","'046901","B","NEW BRAUNFELS ISD","COMAL","N","N","0","Meets Requirements"," "
"'046","'20","'046902","A","COMAL ISD","COMAL","N","N","0","Meets Requirements"," "
"'047","'14","'047901","A","COMANCHE ISD","COMANCHE","N","N","0","Meets Requirements"," "
"'047","'14","'047902","A","DE LEON ISD","COMANCHE","N","N","0","Meets Requirements"," "
"'047","'14","'047903","A","GUSTINE ISD","COMANCHE","N","N"," ","Meets Requirements"," "
"'047","'14","'047905","B","SIDNEY ISD","COMANCHE","N","N"," ","Meets Requirements"," "
"'048","'15","'048901","B","EDEN CISD","CONCHO","N","N","0","Meets Requirements"," "
"'048","'15","'048903","B","PAINT ROCK ISD","CONCHO","N","N","0","Meets Requirements"," "
"'049","'11","'049901","B","GAINESVILLE ISD","COOKE","N","N","0","Needs Assistance"," "
"'049","'11","'049902","A","MUENSTER ISD","COOKE","N","N","1","Meets Requirements"," "
"'049","'11","'049903","B","VALLEY VIEW ISD","COOKE","N","N","0","Meets Requirements"," "
"'049","'11","'049905","B","CALLISBURG ISD","COOKE","N","N","0","Meets Requirements"," "
"'049","'11","'049906","B","ERA ISD","COOKE","N","N"," ","Meets Requirements"," "
"'049","'11","'049907","A","LINDSAY ISD","COOKE","N","N","0","Meets Requirements"," "
"'049","'11","'049908","A","WALNUT BEND ISD","COOKE","N","N"," ","Meets Requirements"," "
"'049","'11","'049909","C","SIVELLS BEND ISD","COOKE","N","N"," ","Meets Requirements"," "
"'050","'12","'050901","Not Rated: Senate Bill 1365","EVANT ISD","CORYELL","N","N","0","Meets Requirements"," "
"'050","'12","'050902","B","GATESVILLE ISD","CORYELL","N","N","0","Meets Requirements"," "
"'050","'12","'050904","B","OGLESBY ISD","CORYELL","N","N"," ","Meets Requirements"," "
"'050","'12","'050909","C","JONESBORO ISD","CORYELL","N","N"," ","Meets Requirements"," "
"'050","'12","'050910","B","COPPERAS COVE ISD","CORYELL","N","N","0","Needs Assistance"," "
"'051","'17","'051901","B","PADUCAH ISD","COTTLE","N","N"," ","Meets Requirements"," "
"'052","'15","'052901","B","CRANE ISD","CRANE","N","N","0","Meets Requirements"," "
"'053","'15","'053001","A","CROCKETT COUNTY CONSOLIDATED CSD","CROCKETT","N","N","0","Meets Requirements"," "
"'054","'17","'054901","B","CROSBYTON CISD","CROSBY","N","N","0","Meets Requirements"," "
"'054","'17","'054902","B","LORENZO ISD","CROSBY","N","N"," ","Meets Requirements"," "
"'054","'17","'054903","B","RALLS ISD","CROSBY","N","N","0","Meets Requirements"," "
"'055","'18","'055901","B","CULBERSON COUNTY-ALLAMOORE ISD","CULBERSON","N","N"," ","Meets Requirements"," "
"'056","'16","'056901","B","DALHART ISD","DALLAM","N","N","0","Meets Requirements"," "
"'056","'16","'056902","A","TEXLINE ISD","DALLAM","N","N"," ","Meets Requirements"," "
"'057","'10","'057802","B","PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057803","B","UPLIFT EDUCATION","DALLAS","Y","N","0","Meets Requirements","ASVAB Test not Offered"
"'057","'10","'057804","B","TEXANS CAN ACADEMIES","DALLAS","Y","Y"," ","Needs Assistance","ASVAB Test not Offered"
"'057","'10","'057805","B","LUMIN EDUCATION","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057806","Not Rated: Senate Bill 1365","ADVANTAGE ACADEMY","DALLAS","Y","N"," ","Needs Assistance"," "
"'057","'10","'057807","B","LIFE SCHOOL","DALLAS","Y","N","0","Needs Assistance"," "
"'057","'10","'057808","A","UNIVERSAL ACADEMY","DALLAS","Y","N","0","Meets Requirements"," "
"'057","'10","'057809","Not Rated: Senate Bill 1365","NOVA ACADEMY","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057810","C","ACADEMY OF DALLAS","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057813","B","TRINITY BASIN PREPARATORY","DALLAS","Y","N","0","Meets Requirements"," "
"'057","'10","'057814","Not Rated","ACADEMY FOR ACADEMIC EXCELLENCE","DALLAS","Y","Y"," ","Needs Assistance","ASVAB Test not Offered"
"'057","'10","'057816","B","A W BROWN LEADERSHIP ACADEMY","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057819","B","JEAN MASSIEU ACADEMY","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057827","B","NOVA ACADEMY SOUTHEAST","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057828","B","WINFREE ACADEMY CHARTER SCHOOLS","DALLAS","Y","Y"," ","Needs Assistance"," "
"'057","'10","'057829","C","A+ ACADEMY","DALLAS","Y","N","0","Needs Assistance"," "
"'057","'10","'057830","Not Rated: Senate Bill 1365","INSPIRED VISION ACADEMY","DALLAS","Y","N","0","Meets Requirements"," "
"'057","'10","'057831","B","GATEWAY CHARTER ACADEMY","DALLAS","Y","N","0","Meets Requirements","ASVAB Test not Offered"
"'057","'10","'057833","C","EDUCATION CENTER INTERNATIONAL ACADEMY","DALLAS","Y","N","0","Meets Requirements"," "
"'057","'10","'057834","A","EVOLUTION ACADEMY CHARTER SCHOOL","DALLAS","Y","Y"," ","Needs Assistance"," "
"'057","'10","'057835","B","GOLDEN RULE CHARTER SCHOOL","DALLAS","Y","N","0","Meets Requirements","ASVAB Test not Offered"
"'057","'10","'057836","A","ST ANTHONY SCHOOL","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057839","B","LA ACADEMIA DE ESTRELLAS","DALLAS","Y","N"," ","Meets Requirements"," "
